month,user_id,plan_id,seats,is_active,is_paying,mrr,new_paid,expansion_mrr,contraction_mrr,churn_mrr,churned_this_month,activation_within_7d,usage_events,deploys,projects_created
2025-07-01,8,1,1,0,0,0.0,0,0.0,0.0,0.0,1,0,3,0,0
2025-08-01,8,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-09-01,8,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-10-01,8,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-11-01,8,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-12-01,8,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-01-01,9,2,3,1,1,20.0,0,0.0,0.0,0.0,0,0,10,0,1
2025-02-01,9,2,3,1,1,20.0,0,0.0,0.0,0.0,0,0,18,2,1
2025-03-01,9,2,3,1,1,20.0,0,0.0,0.0,0.0,0,0,16,1,2
2025-04-01,9,2,3,1,1,20.0,0,0.0,0.0,0.0,0,0,19,1,0
2025-05-01,9,2,3,1,1,20.0,0,0.0,0.0,0.0,0,0,16,0,1
2025-06-01,9,2,3,1,1,20.0,0,0.0,0.0,0.0,0,0,17,0,1
2025-07-01,9,2,3,1,1,20.0,0,0.0,0.0,0.0,0,0,17,1,1
2025-08-01,9,2,3,1,1,20.0,0,0.0,0.0,0.0,0,0,11,0,0
2025-09-01,9,2,3,1,1,20.0,0,0.0,0.0,0.0,0,0,14,0,0
2025-10-01,9,2,3,1,1,20.0,0,0.0,0.0,0.0,0,0,17,1,2
2025-11-01,9,2,3,1,1,20.0,0,0.0,0.0,0.0,0,0,5,1,0
2025-12-01,9,2,3,1,1,20.0,0,0.0,0.0,0.0,0,0,13,1,0
2025-01-01,10,1,3,1,0,0.0,0,0.0,0.0,0.0,0,0,4,1,0
2025-02-01,10,1,3,1,0,0.0,0,0.0,0.0,0.0,0,0,6,0,0
2025-03-01,10,1,3,0,0,0.0,0,0.0,0.0,0.0,1,0,9,0,1
2025-04-01,10,1,3,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-05-01,10,1,3,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-06-01,10,1,3,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-07-01,10,1,3,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-08-01,10,1,3,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-09-01,10,1,3,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-10-01,10,1,3,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-11-01,10,1,3,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-12-01,10,1,3,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-01-01,11,3,4,1,1,72.0,0,0.0,0.0,0.0,0,1,69,2,9
2025-02-01,11,3,4,1,1,72.0,0,0.0,0.0,0.0,0,1,63,3,3
2025-03-01,11,3,4,1,1,72.0,0,0.0,0.0,0.0,0,1,71,3,7
2025-04-01,11,3,4,1,1,72.0,0,0.0,0.0,0.0,0,1,63,4,5
2025-05-01,11,3,4,1,1,72.0,0,0.0,0.0,0.0,0,1,51,3,4
2025-06-01,11,3,4,1,1,72.0,0,0.0,0.0,0.0,0,1,41,2,1
2025-07-01,11,3,4,1,1,72.0,0,0.0,0.0,0.0,0,1,51,2,3
2025-08-01,11,3,4,1,1,72.0,0,0.0,0.0,0.0,0,1,66,4,3
2025-09-01,11,3,4,1,1,72.0,0,0.0,0.0,0.0,0,1,45,1,3
2025-10-01,11,3,4,1,1,72.0,0,0.0,0.0,0.0,0,1,48,7,2
2025-11-01,11,3,4,1,1,72.0,0,0.0,0.0,0.0,0,1,47,4,0
2025-12-01,11,3,4,1,1,72.0,0,0.0,0.0,0.0,0,1,44,1,2
2025-01-01,12,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,28,0,2
2025-02-01,12,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,18,2,1
2025-03-01,12,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,20,0,2
2025-04-01,12,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,21,1,0
2025-05-01,12,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,15,1,1
2025-06-01,12,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,17,1,1
2025-07-01,12,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,13,1,0
2025-08-01,12,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,17,1,1
2025-09-01,12,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,14,0,1
2025-10-01,12,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,14,1,0
2025-11-01,12,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,15,0,2
2025-12-01,12,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,13,1,1
2025-01-01,13,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,30,2,4
2025-02-01,13,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,28,1,2
2025-03-01,13,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,22,1,1
2025-04-01,13,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,20,0,1
2025-05-01,13,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,24,3,1
2025-06-01,13,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,27,2,1
2025-07-01,13,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,15,0,0
2025-08-01,13,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,21,1,2
2025-09-01,13,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,18,0,0
2025-10-01,13,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,12,0,2
2025-11-01,13,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,13,0,0
2025-12-01,13,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,16,1,2
2025-01-01,14,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,9,0,1
2025-02-01,14,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,11,0,1
2025-03-01,14,1,1,0,0,0.0,0,0.0,0.0,0.0,1,0,7,0,0
2025-04-01,14,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-05-01,14,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-06-01,14,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-07-01,14,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-08-01,14,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-09-01,14,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-10-01,14,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-11-01,14,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-12-01,14,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-01-01,15,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,11,1,0
2025-02-01,15,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,7,0,0
2025-03-01,15,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,15,0,1
2025-04-01,15,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,9,0,1
2025-05-01,15,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,0,0
2025-06-01,15,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,6,1,1
2025-07-01,15,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,6,1,0
2025-08-01,15,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,4,1,0
2025-09-01,15,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,4,0,0
2025-10-01,15,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,7,0,0
2025-11-01,15,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,11,0,0
2025-12-01,15,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,4,1,0
2025-01-01,16,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,7,0,0
2025-02-01,16,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,7,1,1
2025-03-01,16,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,4,0,0
2025-04-01,16,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,4,1,0
2025-05-01,16,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,0,0
2025-06-01,16,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,1,1
2025-07-01,16,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,8,0,1
2025-08-01,16,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,8,0,0
2025-09-01,16,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,6,0,0
2025-10-01,16,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,9,0,1
2025-11-01,16,1,1,0,0,0.0,0,0.0,0.0,0.0,1,0,7,1,0
2025-12-01,16,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-01-01,17,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,8,0,0
2025-02-01,17,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,8,0,0
2025-03-01,17,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,7,0,0
2025-04-01,17,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,4,0,0
2025-05-01,17,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,11,1,0
2025-06-01,17,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,9,0,0
2025-07-01,17,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,4,0,0
2025-08-01,17,1,2,0,0,0.0,0,0.0,0.0,0.0,1,0,9,1,1
2025-09-01,17,1,2,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-10-01,17,1,2,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-11-01,17,1,2,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-12-01,17,1,2,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-01-01,18,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,7,0,0
2025-02-01,18,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,7,0,1
2025-03-01,18,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,9,1,1
2025-04-01,18,1,1,0,0,0.0,0,0.0,0.0,0.0,1,0,4,1,0
2025-05-01,18,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-06-01,18,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-07-01,18,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-08-01,18,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-09-01,18,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-10-01,18,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-11-01,18,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-12-01,18,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-01-01,19,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,4,0,0
2025-02-01,19,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,8,1,0
2025-03-01,19,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,13,0,1
2025-04-01,19,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,8,0,2
2025-05-01,19,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,10,0,1
2025-06-01,19,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,4,0,1
2025-07-01,19,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,13,1,2
2025-08-01,19,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,4,0,0
2025-09-01,19,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,8,1,0
2025-10-01,19,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,3,0,1
2025-11-01,19,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,7,1,0
2025-12-01,19,1,2,1,0,0.0,0,0.0,0.0,0.0,0,0,6,0,0
2025-01-01,20,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,9,0,0
2025-02-01,20,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,12,1,0
2025-03-01,20,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,8,1,0
2025-04-01,20,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,7,0,1
2025-05-01,20,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,6,0,0
2025-06-01,20,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,9,1,1
2025-07-01,20,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,0,0
2025-08-01,20,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,12,0,0
2025-09-01,20,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,9,1,1
2025-10-01,20,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,3,1,0
2025-11-01,20,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,0,0
2025-12-01,20,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,7,1,0
2025-01-01,21,1,1,1,0,0.0,0,0.0,0.0,0.0,0,1,15,1,0
2025-02-01,21,1,1,1,0,0.0,0,0.0,0.0,0.0,0,1,12,0,1
2025-03-01,21,1,1,1,0,0.0,0,0.0,0.0,0.0,0,1,13,0,0
2025-04-01,21,1,1,1,0,0.0,0,0.0,0.0,0.0,0,1,9,1,1
2025-05-01,21,1,1,1,0,0.0,0,0.0,0.0,0.0,0,1,5,0,1
2025-06-01,21,1,1,1,0,0.0,0,0.0,0.0,0.0,0,1,8,0,1
2025-07-01,21,1,1,1,0,0.0,0,0.0,0.0,0.0,0,1,6,0,0
2025-08-01,21,1,1,0,0,0.0,0,0.0,0.0,0.0,1,1,8,0,2
2025-09-01,21,1,1,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0
2025-10-01,21,1,1,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0
2025-11-01,21,1,1,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0
2025-12-01,21,1,1,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0
2025-01-01,22,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,10,1,0
2025-02-01,22,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,6,0,0
2025-03-01,22,2,1,1,1,20.0,1,20.0,0.0,0.0,0,0,9,0,1
2025-04-01,22,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,21,2,2
2025-05-01,22,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,21,2,2
2025-06-01,22,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,17,1,0
2025-07-01,22,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,20,0,2
2025-08-01,22,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,13,1,2
2025-09-01,22,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,16,2,0
2025-10-01,22,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,14,1,0
2025-11-01,22,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,19,0,0
2025-12-01,22,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,15,0,0
2025-01-01,23,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,21,1,1
2025-02-01,23,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,22,2,0
2025-03-01,23,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,26,0,1
2025-04-01,23,2,2,1,1,20.0,0,0.0,0.0,0.0,0,0,15,2,1
2025-05-01,23,3,2,1,1,60.0,0,40.0,0.0,0.0,0,0,16,2,2
2025-06-01,23,3,2,1,1,60.0,0,0.0,0.0,0.0,0,0,35,2,1
2025-07-01,23,3,2,1,1,60.0,0,0.0,0.0,0.0,0,0,52,3,3
2025-08-01,23,3,2,1,1,60.0,0,0.0,0.0,0.0,0,0,40,1,2
2025-09-01,23,3,2,1,1,60.0,0,0.0,0.0,0.0,0,0,43,2,3
2025-10-01,23,3,2,1,1,60.0,0,0.0,0.0,0.0,0,0,41,3,3
2025-11-01,23,3,2,1,1,60.0,0,0.0,0.0,0.0,0,0,41,1,3
2025-12-01,23,3,2,1,1,60.0,0,0.0,0.0,0.0,0,0,19,1,1
2025-01-01,24,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,29,1,1
2025-02-01,24,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,18,1,1
2025-03-01,24,2,1,0,1,0.0,0,0.0,0.0,20.0,1,0,16,1,0
2025-04-01,24,2,1,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-05-01,24,2,1,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-06-01,24,2,1,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-07-01,24,2,1,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-08-01,24,2,1,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-09-01,24,2,1,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-10-01,24,2,1,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-11-01,24,2,1,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-12-01,24,2,1,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-01-01,25,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,22,0,3
2025-02-01,25,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,24,0,2
2025-03-01,25,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,18,1,0
2025-04-01,25,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,16,0,1
2025-05-01,25,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,12,2,0
2025-06-01,25,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,13,1,0
2025-07-01,25,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,16,2,1
2025-08-01,25,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,14,1,0
2025-09-01,25,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,18,2,0
2025-10-01,25,2,1,0,1,0.0,0,0.0,0.0,20.0,1,0,13,0,2
2025-11-01,25,2,1,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-12-01,25,2,1,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-01-01,26,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,8,0,0
2025-02-01,26,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,8,0,1
2025-03-01,26,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,10,0,1
2025-04-01,26,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,10,1,0
2025-05-01,26,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,8,1,1
2025-06-01,26,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,6,0,0
2025-07-01,26,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,7,0,0
